Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,01/01/2022,West,Oregon,Portland,Men's Apparel,52,400,"20,800","8,112",39%,Outlet
Foot Locker,1185732,01/01/2022,Northeast,New York,New York,Men's Street Footwear,34,384,"13,056","6,789",52%,Outlet
Foot Locker,1185732,01/01/2022,West,Idaho,Boise,Women's Street Footwear,62,70,"4,340","1,519",35%,Outlet
Amazon,1185732,01/01/2022,Midwest,Ohio,Columbus,Men's Street Footwear,44,44,"1,936",678,35%,In-store
Foot Locker,1185732,01/01/2022,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53,83,"4,399","1,408",32%,Outlet
West Gear,1128299,01/01/2022,West,Utah,Salt Lake City,Men's Street Footwear,23,161,"3,703","1,592",43%,In-store
Foot Locker,1185732,01/01/2022,Northeast,Delaware,Wilmington,Men's Street Footwear,40,260,"10,400","3,744",36%,In-store
West Gear,1128299,01/01/2022,West,Utah,Salt Lake City,Women's Street Footwear,20,142,"2,840","1,306",46%,Online
Foot Locker,1185732,01/01/2022,South,Mississippi,Jackson,Women's Athletic Footwear,35,128,"4,480","1,882",42%,In-store
Foot Locker,1185732,01/01/2022,West,Arizona,Phoenix,Women's Athletic Footwear,71,188,"13,348","6,407",48%,Outlet
Sports Direct,1197831,01/01/2022,Midwest,North Dakota,Fargo,Women's Street Footwear,43,133,"5,719","2,974",52%,Online
West Gear,1128299,01/01/2022,West,Idaho,Boise,Women's Apparel,86,3,258,114,44%,In-store
Foot Locker,1185732,01/01/2022,West,Arizona,Phoenix,Men's Athletic Footwear,72,133,"9,576","4,213",44%,Online
West Gear,1128299,01/02/2022,West,California,San Francisco,Men's Athletic Footwear,44,109,"4,796","1,583",33%,Online
West Gear,1128299,01/02/2022,Midwest,Iowa,Des Moines,Women's Street Footwear,28,184,"5,152","1,700",33%,In-store
Kohl's,1189833,01/02/2022,South,Oklahoma,Oklahoma City,Women's Street Footwear,42,219,"9,198","4,323",47%,Online
West Gear,1128299,01/02/2022,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35,116,"4,060","1,624",40%,Outlet
West Gear,1128299,01/02/2022,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,27,158,"4,266","1,792",42%,Outlet
Kohl's,1189833,01/02/2022,West,Wyoming,Cheyenne,Women's Street Footwear,30,173,"5,190","1,246",24%,Outlet
Foot Locker,1185732,01/02/2022,Midwest,Illinois,Chicago,Women's Apparel,80,161,"12,880","5,410",42%,Outlet
Walmart,1185732,01/02/2022,Southeast,Florida,Orlando,Men's Athletic Footwear,53,211,"11,183","4,138",37%,Online
Sports Direct,1197831,01/02/2022,Northeast,Massachusetts,Boston,Women's Street Footwear,33,400,"13,200","4,356",33%,Online
West Gear,1128299,01/02/2022,South,Louisiana,New Orleans,Men's Street Footwear,48,35,"1,680",622,37%,Outlet
Walmart,1185732,01/02/2022,South,Arkansas,Little Rock,Women's Apparel,40,133,"5,320","1,064",20%,Online
Foot Locker,1185732,01/02/2022,Southeast,South Carolina,Charleston,Women's Apparel,43,191,"8,213","3,696",45%,Outlet
Sports Direct,1197831,01/02/2022,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,43,1,43,21,48%,Outlet
Foot Locker,1185732,01/02/2022,Northeast,New York,New York,Men's Athletic Footwear,47,260,"12,220","5,132",42%,Online
Kohl's,1189833,01/02/2022,West,Arizona,Phoenix,Men's Street Footwear,32,1,32,16,50%,Outlet
Foot Locker,1185732,01/02/2022,Northeast,New York,New York,Men's Athletic Footwear,50,82,"4,100","1,230",30%,In-store
West Gear,1128299,01/02/2022,Northeast,West Virginia,Charleston,Men's Street Footwear,34,53,"1,802",865,48%,Online
Amazon,1185732,01/02/2022,Northeast,Maine,Portland,Men's Athletic Footwear,64,133,"8,512","3,064",36%,Outlet
Kohl's,1189833,01/02/2022,South,Oklahoma,Oklahoma City,Men's Street Footwear,19,219,"4,161","2,455",59%,In-store
West Gear,1128299,01/02/2022,West,Idaho,Boise,Women's Street Footwear,61,200,"12,200","4,392",36%,Online
Foot Locker,1185732,01/02/2022,West,Arizona,Phoenix,Men's Street Footwear,43,133,"5,719","2,516",44%,Online
West Gear,1128299,01/02/2022,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32,122,"3,904","1,991",51%,Online
Foot Locker,1185732,01/02/2022,Northeast,New York,New York,Men's Athletic Footwear,36,320,"11,520","4,032",35%,Outlet
Foot Locker,1185732,01/03/2022,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,22,25,550,297,54%,Online
Sports Direct,1197831,01/03/2022,South,Tennessee,Knoxville,Men's Athletic Footwear,59,133,"7,847","3,531",45%,In-store
West Gear,1128299,01/03/2022,West,California,San Francisco,Men's Street Footwear,61,217,"13,237","7,677",58%,In-store
Amazon,1185732,01/03/2022,Northeast,Vermont,Burlington,Men's Apparel,43,45,"1,935",445,23%,Online
Foot Locker,1185732,01/03/2022,Northeast,New York,New York,Women's Street Footwear,32,350,"11,200","4,144",37%,Outlet
West Gear,1128299,01/03/2022,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,130,"5,850","1,462",25%,Outlet
Foot Locker,1185732,01/03/2022,Midwest,Nebraska,Omaha,Men's Street Footwear,25,111,"2,775","1,166",42%,In-store
Sports Direct,1197831,01/03/2022,Northeast,Massachusetts,Boston,Women's Apparel,49,133,"6,517","3,128",48%,Online
Amazon,1185732,01/03/2022,Northeast,Maine,Portland,Women's Street Footwear,32,149,"4,768","1,097",23%,Outlet
Foot Locker,1185732,01/03/2022,Northeast,New York,New York,Women's Street Footwear,40,214,"8,560","2,996",35%,In-store
Amazon,1185732,01/03/2022,Midwest,Ohio,Columbus,Men's Athletic Footwear,70,197,"13,790","6,206",45%,Online
West Gear,1128299,01/03/2022,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,59,171,"10,089","2,320",23%,In-store
Amazon,1185732,01/03/2022,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,34,133,"4,522","1,311",29%,Online
Amazon,1185732,01/03/2022,Southeast,North Carolina,Charlotte,Men's Street Footwear,58,199,"11,542","5,078",44%,Outlet
West Gear,1128299,01/03/2022,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35,135,"4,725","1,465",31%,Outlet
Sports Direct,1197831,01/03/2022,Northeast,Connecticut,Hartford,Men's Street Footwear,35,400,"14,000","7,420",53%,Online
Foot Locker,1185732,01/03/2022,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,26,183,"4,758","1,856",39%,Online
West Gear,1128299,01/03/2022,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44,117,"5,148","1,905",37%,Online
West Gear,1128299,01/03/2022,South,Louisiana,New Orleans,Women's Athletic Footwear,40,133,"5,320","2,607",49%,Online
Foot Locker,1185732,01/03/2022,Northeast,New York,New York,Women's Street Footwear,36,250,"9,000","4,140",46%,Online
Sports Direct,1197831,01/03/2022,Southeast,Georgia,Atlanta,Women's Apparel,59,80,"4,720","1,982",42%,Outlet
Kohl's,1189833,01/03/2022,Northeast,Delaware,Wilmington,Women's Apparel,53,133,"7,049","2,890",41%,Online
Foot Locker,1185732,01/03/2022,Northeast,Rhode Island,Providence,Women's Street Footwear,24,133,"3,192","1,085",34%,Online
West Gear,1128299,01/03/2022,West,Oregon,Portland,Women's Street Footwear,41,72,"2,952","1,328",45%,Online
Sports Direct,1197831,01/03/2022,South,Tennessee,Knoxville,Women's Street Footwear,32,95,"3,040","1,125",37%,Outlet
Kohl's,1189833,01/03/2022,Northeast,Delaware,Wilmington,Women's Street Footwear,41,266,"10,906","3,599",33%,Outlet
Kohl's,1189833,01/03/2022,West,New Mexico,Albuquerque,Men's Athletic Footwear,55,133,"7,315","2,926",40%,In-store
Sports Direct,1197831,01/03/2022,South,Texas,Dallas,Women's Apparel,48,185,"8,880","3,286",37%,Online
West Gear,1128299,01/04/2022,West,Oregon,Portland,Women's Street Footwear,53,115,"6,095","2,499",41%,Online
Walmart,1185732,01/04/2022,Southeast,Florida,Orlando,Men's Apparel,27,355,"9,585","4,313",45%,Outlet
West Gear,1128299,01/04/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45,62,"2,790","1,116",40%,Outlet
Foot Locker,1185732,01/04/2022,Northeast,New York,New York,Women's Athletic Footwear,41,247,"10,127","4,658",46%,Online
West Gear,1128299,01/04/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41,117,"4,797","2,590",54%,Online
Kohl's,1189833,01/04/2022,West,California,Los Angeles,Men's Athletic Footwear,40,36,"1,440",504,35%,In-store
Foot Locker,1185732,01/04/2022,Northeast,New York,New York,Women's Athletic Footwear,36,281,"10,116","3,743",37%,Outlet
Sports Direct,1197831,01/04/2022,Southeast,North Carolina,Charlotte,Women's Street Footwear,29,210,"6,090","2,010",33%,In-store
Foot Locker,1185732,01/04/2022,Midwest,South Dakota,Sioux Falls,Women's Apparel,20,270,"5,400","3,078",57%,Outlet
West Gear,1128299,01/04/2022,South,Arkansas,Little Rock,Women's Athletic Footwear,54,185,"9,990","4,595",46%,Online
Sports Direct,1197831,01/04/2022,South,Mississippi,Jackson,Men's Apparel,41,216,"8,856","4,339",49%,Outlet
Foot Locker,1185732,01/04/2022,West,Arizona,Phoenix,Women's Street Footwear,29,133,"3,857","1,273",33%,Online
Amazon,1185732,01/04/2022,Midwest,Ohio,Columbus,Men's Street Footwear,30,266,"7,980","3,511",44%,Outlet
Amazon,1185732,01/04/2022,South,Alabama,Birmingham,Men's Apparel,27,133,"3,591","1,796",50%,Outlet
West Gear,1128299,01/04/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36,140,"5,040","2,369",47%,Outlet
Amazon,1185732,01/04/2022,Northeast,New Hampshire,Manchester,Men's Street Footwear,43,271,"11,653","4,894",42%,Online
West Gear,1128299,01/04/2022,West,Utah,Salt Lake City,Women's Street Footwear,25,130,"3,250",845,26%,Outlet
Foot Locker,1185732,01/04/2022,Northeast,New York,New York,Women's Athletic Footwear,45,6,270,94,35%,In-store
Sports Direct,1197831,01/04/2022,South,Texas,Dallas,Women's Apparel,34,89,"3,026","1,271",42%,Online
Foot Locker,1185732,01/04/2022,Southeast,Virginia,Richmond,Men's Street Footwear,49,227,"11,123","6,006",54%,Online
Amazon,1185732,01/04/2022,Southeast,North Carolina,Charlotte,Men's Apparel,32,133,"4,256","1,958",46%,Outlet
Kohl's,1189833,01/04/2022,Northeast,Delaware,Wilmington,Women's Apparel,58,4,232,137,59%,Outlet
Walmart,1185732,01/05/2022,Southeast,Florida,Orlando,Women's Apparel,67,133,"8,911","2,941",33%,Online
West Gear,1128299,01/05/2022,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,87,"3,741","1,870",50%,Online
Foot Locker,1185732,01/05/2022,Northeast,New York,New York,Men's Apparel,43,306,"13,158","4,868",37%,Outlet
West Gear,1128299,01/05/2022,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,34,90,"3,060","1,255",41%,Outlet
West Gear,1128299,01/05/2022,West,California,San Francisco,Women's Apparel,46,141,"6,486","1,557",24%,Outlet
Foot Locker,1185732,01/05/2022,Northeast,New York,New York,Men's Apparel,55,234,"12,870","5,148",40%,Online
Kohl's,1189833,01/05/2022,Northeast,New York,Albany,Women's Street Footwear,41,266,"10,906","4,690",43%,Online
West Gear,1128299,01/05/2022,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45,162,"7,290","2,552",35%,Outlet
Amazon,1185732,01/05/2022,Southeast,Kentucky,Louisville,Men's Athletic Footwear,29,109,"3,161",727,23%,Online
Sports Direct,1197831,01/05/2022,Midwest,North Dakota,Fargo,Women's Apparel,40,205,"8,200","4,264",52%,Online
Foot Locker,1185732,01/05/2022,Northeast,New York,New York,Men's Apparel,60,192,"11,520","3,456",30%,In-store
Kohl's,1189833,01/05/2022,Northeast,New Jersey,Newark,Women's Street Footwear,27,353,"9,531","5,623",59%,In-store
Sports Direct,1197831,01/05/2022,Southeast,Georgia,Atlanta,Men's Street Footwear,43,196,"8,428","4,467",53%,Online
West Gear,1128299,01/05/2022,Northeast,West Virginia,Charleston,Men's Athletic Footwear,46,82,"3,772","1,622",43%,In-store
Walmart,1185732,01/05/2022,Southeast,Florida,Orlando,Women's Street Footwear,42,86,"3,612","1,662",46%,Outlet
West Gear,1128299,01/05/2022,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,31,61,"1,891","1,078",57%,Online
Foot Locker,1185732,01/05/2022,South,Mississippi,Jackson,Women's Apparel,47,266,"12,502","6,126",49%,Online
Foot Locker,1185732,01/05/2022,West,Idaho,Boise,Men's Athletic Footwear,42,227,"9,534","2,765",29%,Online
Amazon,1185732,01/05/2022,Northeast,Vermont,Burlington,Women's Street Footwear,14,133,"1,862",596,32%,Outlet
Foot Locker,1185732,01/06/2022,Southeast,South Carolina,Charleston,Women's Athletic Footwear,28,133,"3,724","1,415",38%,In-store
West Gear,1128299,01/06/2022,West,Nevada,Las Vegas,Men's Apparel,50,86,"4,300","2,365",55%,Outlet
Foot Locker,1185732,01/06/2022,Northeast,New York,New York,Women's Apparel,46,260,"11,960","4,425",37%,Online
Kohl's,1189833,01/06/2022,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,25,133,"3,325","1,363",41%,In-store
Kohl's,1189833,01/06/2022,South,Oklahoma,Oklahoma City,Women's Street Footwear,63,132,"8,316","2,994",36%,Outlet
West Gear,1128299,01/06/2022,West,Nevada,Las Vegas,Men's Apparel,47,70,"3,290","2,138",65%,Online
Sports Direct,1197831,01/06/2022,Northeast,Connecticut,Hartford,Women's Street Footwear,45,133,"5,985","2,753",46%,In-store
West Gear,1128299,01/06/2022,South,Louisiana,New Orleans,Men's Athletic Footwear,37,208,"7,696","2,309",30%,Online
Kohl's,1189833,01/06/2022,South,Oklahoma,Oklahoma City,Women's Apparel,29,71,"2,059",927,45%,In-store
West Gear,1128299,01/06/2022,West,Nevada,Las Vegas,Men's Apparel,37,80,"2,960","1,687",57%,Outlet
Amazon,1185732,01/06/2022,Northeast,Maine,Portland,Women's Athletic Footwear,41,400,"16,400","7,544",46%,In-store
Foot Locker,1185732,01/06/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55,111,"6,105","3,358",55%,Outlet
Amazon,1185732,01/06/2022,Midwest,Ohio,Columbus,Men's Athletic Footwear,69,1,69,36,52%,Outlet
Foot Locker,1185732,01/06/2022,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,48,133,"6,384","2,426",38%,In-store
Foot Locker,1185732,01/06/2022,Southeast,South Carolina,Charleston,Men's Apparel,61,266,"16,226","6,166",38%,Online
Sports Direct,1197831,01/06/2022,South,Alabama,Birmingham,Men's Apparel,26,38,988,405,41%,In-store
West Gear,1128299,01/06/2022,Midwest,Wisconsin,Milwaukee,Men's Apparel,33,86,"2,838","1,277",45%,Outlet
Foot Locker,1185732,01/06/2022,Southeast,Virginia,Richmond,Men's Street Footwear,27,177,"4,779","2,198",46%,Outlet
Sports Direct,1197831,01/06/2022,Midwest,Michigan,Detroit,Women's Apparel,45,249,"11,205","4,818",43%,Online
West Gear,1128299,01/06/2022,South,Arkansas,Little Rock,Women's Athletic Footwear,49,137,"6,713","2,618",39%,Online
Foot Locker,1185732,01/06/2022,Northeast,New York,New York,Women's Apparel,50,162,"8,100","2,025",25%,In-store
Foot Locker,1185732,01/06/2022,Northeast,New York,New York,Women's Apparel,38,330,"12,540","4,013",32%,Outlet
Foot Locker,1185732,01/06/2022,South,Mississippi,Jackson,Men's Athletic Footwear,38,133,"5,054","1,718",34%,Online
Sports Direct,1197831,01/06/2022,Midwest,North Dakota,Fargo,Men's Athletic Footwear,64,154,"9,856","3,942",40%,Online
Foot Locker,1185732,01/06/2022,Midwest,Nebraska,Omaha,Men's Street Footwear,58,239,"13,862","3,050",22%,Online
West Gear,1128299,01/06/2022,West,California,San Francisco,Men's Street Footwear,7,221,"1,547",774,50%,Online
Foot Locker,1185732,01/06/2022,Midwest,Michigan,Detroit,Men's Athletic Footwear,27,164,"4,428","1,815",41%,Online
Foot Locker,1185732,01/06/2022,Southeast,Virginia,Richmond,Men's Athletic Footwear,47,45,"2,115",931,44%,Outlet
Kohl's,1189833,01/07/2022,West,California,Los Angeles,Women's Athletic Footwear,53,222,"11,766","4,589",39%,Online
West Gear,1128299,01/07/2022,West,Nevada,Las Vegas,Women's Apparel,45,174,"7,830","1,566",20%,Outlet
Amazon,1185732,01/07/2022,Southeast,Kentucky,Louisville,Men's Athletic Footwear,42,252,"10,584","3,493",33%,Outlet
Kohl's,1189833,01/07/2022,West,California,Los Angeles,Men's Street Footwear,16,135,"2,160",864,40%,Online
West Gear,1128299,01/07/2022,West,Oregon,Portland,Men's Street Footwear,21,319,"6,699","3,350",50%,Online
Foot Locker,1185732,01/07/2022,Northeast,New York,New York,Men's Street Footwear,50,105,"5,250","2,625",50%,In-store
Sports Direct,1197831,01/07/2022,South,Alabama,Birmingham,Men's Athletic Footwear,40,286,"11,440","3,661",32%,Online
West Gear,1128299,01/07/2022,West,Nevada,Las Vegas,Women's Apparel,36,166,"5,976","1,434",24%,Outlet
Foot Locker,1185732,01/07/2022,Southeast,South Carolina,Charleston,Women's Athletic Footwear,63,149,"9,387","3,473",37%,Outlet
West Gear,1128299,01/07/2022,West,Oregon,Portland,Women's Street Footwear,63,90,"5,670","1,814",32%,In-store
Foot Locker,1185732,01/07/2022,Midwest,Illinois,Chicago,Women's Apparel,41,34,"1,394",906,65%,In-store
Amazon,1185732,01/07/2022,Northeast,Maine,Portland,Women's Street Footwear,18,124,"2,232",848,38%,Outlet
West Gear,1128299,01/07/2022,Midwest,Iowa,Des Moines,Women's Apparel,48,270,"12,960","4,666",36%,Online
Foot Locker,1185732,01/07/2022,Northeast,West Virginia,Charleston,Women's Athletic Footwear,26,400,"10,400","5,096",49%,In-store
Walmart,1185732,01/07/2022,South,Arkansas,Little Rock,Men's Street Footwear,55,133,"7,315","4,096",56%,Outlet
West Gear,1128299,01/07/2022,West,Nevada,Las Vegas,Women's Apparel,41,128,"5,248","1,574",30%,Online
Kohl's,1189833,01/07/2022,West,New Mexico,Albuquerque,Men's Athletic Footwear,52,214,"11,128","5,787",52%,In-store
West Gear,1128299,01/07/2022,South,Louisiana,New Orleans,Men's Athletic Footwear,43,202,"8,686","3,301",38%,Outlet
Sports Direct,1197831,01/07/2022,South,Tennessee,Knoxville,Women's Street Footwear,27,1,27,11,41%,Online
Foot Locker,1185732,01/07/2022,Midwest,North Dakota,Fargo,Women's Apparel,54,204,"11,016","4,517",41%,In-store
Foot Locker,1185732,01/07/2022,Northeast,New York,New York,Men's Street Footwear,46,313,"14,398","8,927",62%,Online
Foot Locker,1185732,01/07/2022,South,Mississippi,Jackson,Men's Apparel,49,190,"9,310","3,258",35%,Online
Foot Locker,1185732,01/07/2022,Northeast,New York,New York,Men's Street Footwear,33,388,"12,804","6,658",52%,Outlet
Sports Direct,1197831,01/07/2022,South,Alabama,Birmingham,Women's Street Footwear,22,87,"1,914",670,35%,Online
Sports Direct,1197831,01/07/2022,Northeast,Connecticut,Hartford,Women's Athletic Footwear,30,80,"2,400",432,18%,Outlet
Foot Locker,1185732,01/08/2022,West,Hawaii,Honolulu,Women's Athletic Footwear,47,138,"6,486","3,178",49%,Online
Sports Direct,1197831,01/08/2022,Northeast,Massachusetts,Boston,Women's Street Footwear,29,266,"7,714","2,160",28%,Outlet
West Gear,1128299,01/08/2022,West,Oregon,Portland,Women's Street Footwear,26,298,"7,748","2,169",28%,Outlet
Amazon,1185732,01/08/2022,Northeast,Maine,Portland,Women's Apparel,53,133,"7,049","3,384",48%,Outlet
Foot Locker,1185732,01/08/2022,Midwest,Missouri,St. Louis,Men's Apparel,30,133,"3,990","2,115",53%,In-store
Sports Direct,1197831,01/08/2022,South,Tennessee,Knoxville,Men's Athletic Footwear,20,400,"8,000","4,640",58%,Outlet
West Gear,1128299,01/08/2022,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,39,40,"1,560",624,40%,Outlet
Foot Locker,1185732,01/08/2022,Northeast,New Hampshire,Manchester,Men's Apparel,70,99,"6,930","2,287",33%,Outlet
Foot Locker,1185732,01/08/2022,Southeast,Georgia,Atlanta,Women's Apparel,80,265,"21,200","9,540",45%,Online
Foot Locker,1185732,01/08/2022,Northeast,New York,New York,Men's Athletic Footwear,39,315,"12,285","4,054",33%,Outlet
West Gear,1128299,01/08/2022,South,Louisiana,New Orleans,Men's Athletic Footwear,58,97,"5,626","1,913",34%,Outlet
Kohl's,1189833,01/08/2022,West,Wyoming,Cheyenne,Women's Athletic Footwear,34,133,"4,522","1,764",39%,Outlet
West Gear,1128299,01/08/2022,West,Nevada,Las Vegas,Men's Street Footwear,34,158,"5,372","2,686",50%,Online
Foot Locker,1185732,01/08/2022,Northeast,New York,New York,Men's Athletic Footwear,50,104,"5,200","1,560",30%,Outlet
West Gear,1128299,01/08/2022,South,Louisiana,New Orleans,Men's Athletic Footwear,53,147,"7,791","3,038",39%,Outlet
Foot Locker,1185732,01/08/2022,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,37,23,851,332,39%,In-store
West Gear,1128299,01/08/2022,West,Nevada,Las Vegas,Men's Street Footwear,27,173,"4,671","2,009",43%,Outlet
Kohl's,1189833,01/08/2022,Midwest,Kansas,Wichita,Men's Apparel,43,159,"6,837","2,530",37%,Online
West Gear,1128299,01/08/2022,West,Oregon,Portland,Men's Athletic Footwear,64,26,"1,664",483,29%,Online
Kohl's,1189833,01/08/2022,Northeast,New Jersey,Newark,Women's Street Footwear,61,220,"13,420","6,173",46%,Online
Kohl's,1189833,01/08/2022,West,Wyoming,Cheyenne,Women's Street Footwear,55,139,"7,645","2,217",29%,Online
Sports Direct,1197831,01/08/2022,Southeast,Georgia,Atlanta,Women's Apparel,48,266,"12,768","4,213",33%,In-store
Foot Locker,1185732,01/08/2022,Northeast,Rhode Island,Providence,Men's Apparel,44,266,"11,704","6,437",55%,Online
West Gear,1128299,01/08/2022,West,Nevada,Las Vegas,Men's Street Footwear,35,350,"12,250","4,900",40%,Outlet
Foot Locker,1185732,01/08/2022,Northeast,New York,New York,Men's Athletic Footwear,46,261,"12,006","5,283",44%,Online
Walmart,1185732,01/08/2022,Southeast,Florida,Orlando,Men's Apparel,50,164,"8,200","3,034",37%,Online
Sports Direct,1197831,01/08/2022,Northeast,Connecticut,Hartford,Women's Street Footwear,30,265,"7,950","3,180",40%,Online
Sports Direct,1197831,01/08/2022,South,Texas,Dallas,Women's Athletic Footwear,24,17,408,196,48%,Outlet
Foot Locker,1185732,01/08/2022,Midwest,Iowa,Des Moines,Men's Athletic Footwear,65,127,"8,255","2,311",28%,Outlet
West Gear,1128299,01/08/2022,West,Oregon,Portland,Women's Apparel,80,168,"13,440","7,123",53%,Outlet
West Gear,1128299,01/09/2022,West,Nevada,Las Vegas,Men's Athletic Footwear,43,128,"5,504","2,202",40%,Online
Amazon,1185732,01/09/2022,Midwest,Ohio,Columbus,Women's Apparel,60,133,"7,980","1,915",24%,Online
West Gear,1128299,01/09/2022,Midwest,Missouri,St. Louis,Women's Apparel,59,133,"7,847","1,962",25%,Outlet
Sports Direct,1197831,01/09/2022,Midwest,Michigan,Detroit,Women's Athletic Footwear,39,300,"11,700","4,212",36%,In-store
Sports Direct,1197831,01/09/2022,South,Tennessee,Knoxville,Men's Apparel,54,1,54,24,45%,Online
Foot Locker,1185732,01/09/2022,Northeast,New Hampshire,Manchester,Women's Apparel,81,266,"21,546","13,359",62%,Online
Walmart,1185732,01/09/2022,South,Mississippi,Jackson,Women's Street Footwear,33,230,"7,590","2,656",35%,Online
Sports Direct,1197831,01/09/2022,Midwest,Montana,Billings,Men's Street Footwear,45,193,"8,685","3,821",44%,Outlet
Sports Direct,1197831,01/09/2022,South,Texas,Dallas,Women's Apparel,41,280,"11,480","4,707",41%,Online
Foot Locker,1185732,01/09/2022,Midwest,Nebraska,Omaha,Women's Athletic Footwear,64,204,"13,056","5,353",41%,Online
Walmart,1185732,01/09/2022,Southeast,Florida,Orlando,Women's Apparel,71,143,"10,153","5,787",57%,Online
Amazon,1185732,01/09/2022,Northeast,Vermont,Burlington,Women's Athletic Footwear,63,133,"8,379","3,687",44%,Outlet
West Gear,1128299,01/09/2022,Midwest,Indiana,Indianapolis,Men's Apparel,53,90,"4,770","2,337",49%,Outlet
Sports Direct,1197831,01/09/2022,Northeast,Massachusetts,Boston,Women's Apparel,43,133,"5,719","2,173",38%,Outlet
Amazon,1185732,01/09/2022,Northeast,Vermont,Burlington,Women's Street Footwear,25,133,"3,325","1,363",41%,Outlet
West Gear,1128299,01/09/2022,West,Nevada,Las Vegas,Men's Athletic Footwear,35,145,"5,075","1,573",31%,Outlet
Sports Direct,1197831,01/09/2022,Midwest,Michigan,Detroit,Women's Street Footwear,31,23,713,250,35%,Online
Kohl's,1189833,01/09/2022,Midwest,Montana,Billings,Women's Apparel,57,156,"8,892","4,357",49%,Outlet
Sports Direct,1197831,01/09/2022,Midwest,South Dakota,Sioux Falls,Men's Apparel,62,400,"24,800","10,664",43%,Online
West Gear,1128299,01/09/2022,West,Nevada,Las Vegas,Men's Athletic Footwear,45,120,"5,400","1,350",25%,Outlet
Foot Locker,1185732,01/09/2022,West,Wyoming,Cheyenne,Women's Athletic Footwear,16,326,"5,216","2,243",43%,In-store
Walmart,1185732,01/09/2022,Southeast,Florida,Orlando,Women's Street Footwear,25,82,"2,050",800,39%,Outlet
